Field,Field Name,Module,Field Type,Field Size,Description,Parent,Child,Field Reference,Parent Value,Parent Inverse,Parent_Child_Rules,2010 Reference,2010 Field,2010 FieldName,2010 Module,2010 Description,Comment
393,BD8_RT1_DBL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 1 in 8th Blackout/Fair Date Period per night (Rate you are offering to this client.) Double occupancy,,,,,,,,NEW,BD8_RT1_DBL,,Fair Date rate for Room Type 1 in 8th Blackout Period per night (Rate you are offering to this client.) Double occupancy,NEW
394,BD8_RT2_SGL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 2 in 8th Blackout/Fair Date Period per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,BD8_RT2_SGL,,Fair Date rate for Room Type 2 in 8th Blackout Period per night (Rate you are offering to this client.) Single occupancy,NEW
395,BD8_RT2_DBL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 2 in 8th Blackout/Fair Date Period per night (Rate you are offering to this client.) Double  occupancy,,,,,,,,NEW,BD8_RT2_DBL,,Fair Date rate for Room Type 2 in 8th Blackout Period per night (Rate you are offering to this client.) Double  occupancy,NEW
396,BD8_RT3_SGL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 3 in 8th Blackout/Fair Date Period per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,BD8_RT3_SGL,,Fair Date rate for Room Type 3 in 8th Blackout Period per night (Rate you are offering to this client.) Single occupancy,NEW
397,BD8_RT3_DBL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 3 in 8th Blackout/Fair Date Period per night (Rate you are offering to this client.) Double occupancy,,,,,,,,NEW,BD8_RT3_DBL,,Fair Date rate for Room Type 3 in 8th Blackout Period per night (Rate you are offering to this client.) Double occupancy,NEW
398,BD9_START,BD,Date,10,"Start date of 9th Blackout/Fair Date Period.  Use ISO 8601 format - Example: 2011-12-31.  If the Blackout/Fair Date period is one day, Start Date and End Date are the same.",,,,,,,,201,BD9_START,CS,"Start date of 9th Blackout Period.  Use date format MM/DD/YYYY.  If the blackout period is one day, Start Date and End Date are the same.",AMENDED
399,BD9_END,BD,Date,10,"End date of 9th Blackout/Fair Date Period. Use ISO 8601 format - Example: 2011-12-31.  If the Blackout/Fair Date period is one day, Start Date and End Date are the same.",,,,,,,,202,BD9_END,CS,"End date of 9th Blackout Period. Use date format MM/DD/YYYY.  If the blackout period is one day, Start Date and End Date are the same.",AMENDED
400,BD9_NAME,BD,Text,50,Name of 9th Blackout/Fair Date Period,,,,,,,,NEW,BD9_NAME,,Name of 9th Blackout Period/Fair Date Range,NEW
401,BD9_RT1_SGL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 1 in 9th Blackout/Fair Date Period per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,BD9_RT1_SGL,,Fair Date rate for Room Type 1 in 9th Blackout Period per night (Rate you are offering to this client.) Single occupancy,NEW
402,BD9_RT1_DBL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 1 in 9th Blackout/Fair Date Period per night (Rate you are offering to this client.) Double occupancy,,,,,,,,NEW,BD9_RT1_DBL,,Fair Date rate for Room Type 1 in 9th Blackout Period per night (Rate you are offering to this client.) Double occupancy,NEW
403,BD9_RT2_SGL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 2 in 9th Blackout/Fair Date Period per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,BD9_RT2_SGL,,Fair Date rate for Room Type 2 in 9th Blackout Period per night (Rate you are offering to this client.) Single occupancy,NEW
404,BD9_RT2_DBL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 2 in 9th Blackout/Fair Date Period per night (Rate you are offering to this client.) Double  occupancy,,,,,,,,NEW,BD9_RT2_DBL,,Fair Date rate for Room Type 2 in 9th Blackout Period per night (Rate you are offering to this client.) Double  occupancy,NEW
405,BD9_RT3_SGL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 3 in 9th Blackout/Fair Date Period per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,BD9_RT3_SGL,,Fair Date rate for Room Type 3 in 9th Blackout Period per night (Rate you are offering to this client.) Single occupancy,NEW
406,BD9_RT3_DBL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 3 in 9th Blackout/Fair Date Period per night (Rate you are offering to this client.) Double occupancy,,,,,,,,NEW,BD9_RT3_DBL,,Fair Date rate for Room Type 3 in 9th Blackout Period per night (Rate you are offering to this client.) Double occupancy,NEW
407,BD10_START,BD,Date,10,"Start date of 10th Blackout/Fair Date Period.  Use ISO 8601 format - Example: 2011-12-31.  If the Blackout/Fair Date period is one day, Start Date and End Date are the same.",,,,,,,,203,BD10_START,CS,"Start date of 10th Blackout Period.  Use date format MM/DD/YYYY.  If the blackout period is one day, Start Date and End Date are the same.",AMENDED
408,BD10_END,BD,Date,10,"End date of 10th Blackout/Fair Date Period. Used ISO 8601 format - Example: 2011-12-31.  If the Blackout/Fair Date period is one day, Start Date and End Date are the same.",,,,,,,,204,BD10_END,CS,"End date of 10th Blackout Period. Used date format MM/DD/YYYY.  If the blackout period is one day, Start Date and End Date are the same.",AMENDED
409,BD10_NAME,BD,Text,50,Name of 10th Blackout/Fair Date Period,,,,,,,,NEW,BD10_NAME,,Name of 10th Blackout Period/Fair Date Range,NEW
410,BD10_RT1_SGL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 1 in 10th Blackout/Fair Date Period per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,BD10_RT1_SGL,,Fair Date rate for Room Type 1 in 10th Blackout Period per night (Rate you are offering to this client.) Single occupancy,NEW
411,BD10_RT1_DBL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 1 in 10th Blackout/Fair Date Period per night (Rate you are offering to this client.) Double occupancy,,,,,,,,NEW,BD10_RT1_DBL,,Fair Date rate for Room Type 1 in 10th Blackout Period per night (Rate you are offering to this client.) Double occupancy,NEW
412,BD10_RT2_SGL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 2 in 10th Blackout/Fair Date Period per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,BD10_RT2_SGL,,Fair Date rate for Room Type 2 in 10th Blackout Period per night (Rate you are offering to this client.) Single occupancy,NEW
413,BD10_RT2_DBL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 2 in 10th Blackout/Fair Date Period per night (Rate you are offering to this client.) Double  occupancy,,,,,,,,NEW,BD10_RT2_DBL,,Fair Date rate for Room Type 2 in 10th Blackout Period per night (Rate you are offering to this client.) Double  occupancy,NEW
414,BD10_RT3_SGL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 3 in 10th Blackout/Fair Date Period per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,BD10_RT3_SGL,,Fair Date rate for Room Type 3 in 10th Blackout Period per night (Rate you are offering to this client.) Single occupancy,NEW
415,BD10_RT3_DBL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 3 in 10th Blackout/Fair Date Period per night (Rate you are offering to this client.) Double occupancy,,,,,,,,NEW,BD10_RT3_DBL,,Fair Date rate for Room Type 3 in 10th Blackout Period per night (Rate you are offering to this client.) Double occupancy,NEW
416,GROCERY_SVC,ES,Y/N,1,Is there a grocery shopping service available?  (Y or N),,,,,,,,316,GROCERY_SVC,SA,Is there a grocery shopping service available?  (Y or N),NO CHANGE
417,STORAGE,ES,Y/N,1,Is there storage space?  (Y or N),Y,,P 418,,,,,337,STORAGE,SA,Is there storage space?  (Y or N),NO CHANGE
418,STORAGE_FEE,ES,Number,"(10,2)","If so, what is the fee?",,Y,417,N,NO,"If 417 = N, enter 0 here",,338,STORAGE_FEE,SA,"If so, what is the fee?",NO CHANGE
419,LAUN_DRY,ES,Y/N,1,Is there a Laundry/Drycleaning service available? (Y or N),,,,,,,,340,LAUN_DRY,SA,Laundry/Drycleaning services available? (Y or N),NO CHANGE
420,LAUNDRY_SITE,ES,Y/N,1,Is there self-service laundry on-site? (Y or N),,,,,,,,341,LAUNDRY_SITE,SA,Is there self-service laundry on-site? (Y or N),NO CHANGE
421,MINI_FRIG,ES,Y/N,1,Is there a mini refrigerator in room? (Y or N),,,,,,,,348,MINI_FRIG,SA,Is there a mini refrigerator? (Y or N),NO CHANGE
422,MICRO,ES,Y/N,1,Is there a microwave oven in room?  (Y or N),,,,,,,,349,MICRO,SA,Is there a microwave oven in the rooms?  (Y or N),NO CHANGE
423,COFF_TEA,ES,Y/N,1,Coffee-Tea maker available in room?  (Y or N),,,,,,,,350,COFF_TEA,SA,Coffee-Tea maker available in room?  (Y or N),NO CHANGE
424,STOVE,ES,Y/N,1,Is there a Stove in room?  (Y or N),,,,,,,,360,STOVE,SA,Stove in room?  (Y or N),NO CHANGE
425,OVEN,ES,Y/N,1,Conventional oven in room?  (Y or N),,,,,,,,361,OVEN,SA,Conventional oven in room?  (Y or N),NO CHANGE
426,TOASTER,ES,Y/N,1,Toaster in room?  (Y or N),,,,,,,,362,TOASTER,SA,Toaster in room?  (Y or N),NO CHANGE
427,DINING_WARE,ES,Y/N,1,"Plates, glassware and silverware in room?  (Y or N)",,,,,,,,365,DINING_WARE,SA,"Plates, glassware and silverware in room?  (Y or N)",NO CHANGE
428,DISHES,ES,Y/N,1,"Pots, pans, and serving dishes in room?  (Y or N)",,,,,,,,366,DISHES,SA,"Pots, pans, and serving dishes in room?  (Y or N)",NO CHANGE
429,HOUSEKEEPING,ES,Text,1,Is housekeeping service provided Daily or Weekly?  (D or W),,,,,,,,367,HOUSEKEEPING,SA,Is housekeeping service provided Daily or Weekly?  (D or W),NO CHANGE
430,HOUSE_CHARGE,ES,Number,"(10,2)",What is the daily housekeeping fee? ,,,,,,,,369,HOUSE_CHARGE,SA,What is the daily housekeeping fee? ,NO CHANGE
431,LOS2MIN_ES,ES,Number,"(3,0)",Length Of Stay 2 Minimum Nights.  Example: 7 (LOS2 minimum must be greater than LOS1 maximum.)   Note:  Core module defines LOS1.,,,,,,,,496,LOS2MIN_ES,ES,Length Of Stay 2 Minimum Nights.  Example: 7 (LOS2 minimum must be greater than LOS1 maximum.)   Note:  Core module defines LOS1.,NO CHANGE
432,LOS2MAX_ES,ES,Number,"(3,0)",Length of Stay 2 Maximum Nights.  Example: 13  (LOS2 maximum must be greater than LOS2 minimum.),,,,,,,,497,LOS2MAX_ES,ES,Length of Stay 2 Maximum Nights.  Example: 13  (LOS2 maximum must be greater than LOS2 minimum.),NO CHANGE
433,LOS3MIN_ES,ES,Number,"(3,0)",Length of Stay 3 Minimum Nights.  Example: 14  (LOS3 minimum must be greater than LOS2 maximum.),,,,,,,,498,LOS3MIN_ES,ES,Length of Stay 3 Minimum Nights.  Example: 14  (LOS3 minimum must be greater than LOS2 maximum.),NO CHANGE
434,LOS3MAX_ES,ES,Number,"(3,0)",Length of Stay 3 Maximum Nights.  Example: 20  (LOS3 maximum must be greater than LOS3 minimum.),,,,,,,,499,LOS3MAX_ES,ES,Length of Stay 3 Maximum Nights.  Example: 20  (LOS3 maximum must be greater than LOS3 minimum.),NO CHANGE
435,LOS4MIN_ES,ES,Number,"(3,0)",Length of Stay 4 Minimum Nights.  Example: 21  (LOS4 minimum must be greater than LOS3 maximum.),,,,,,,,500,LOS4MIN_ES,ES,Length of Stay 4 Minimum Nights.  Example: 21  (LOS4 minimum must be greater than LOS3 maximum.),NO CHANGE
436,LOS4MAX_ES,ES,Number,"(3,0)",Length of Stay 4 Maximum Nights.  Example: 30  (LOS4 maximum must be greater than LOS4 minimum.),,,,,,,,501,LOS4MAX_ES,ES,Length of Stay 4 Maximum Nights.  Example: 30  (LOS4 maximum must be greater than LOS4 minimum.),NO CHANGE
437,SEASON1START_ES,ES,Date,10,Season 1 start date.  Use ISO 8601 format - Example: 2011-12-31,,,,,,,,502,SEASON1START_ES,ES,Season 1 start date.  Use short date format:  MM/DD/YYYY   ,AMENDED
438,SEASON1END_ES,ES,Date,10,Season 1 end date.  Use ISO 8601 format - Example: 2011-12-31,,,,,,,,503,SEASON1END_ES,ES,Season 1 end date.  Use short date format:  MM/DD/YYYY ,AMENDED
439,LRA_S1_RT1_L2_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 1, Room type 1, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,508,LRA_S1_RT1_L2_ES_SGL,ES,"Client Negotiated LRA rate for Season 1, Room type 1, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
440,LRA_S1_RT1_L2_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 1, Room type 1, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,509,LRA_S1_RT1_L2_ES_DBL,ES,"Client Negotiated LRA rate for Season 1, Room type 1, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
441,LRA_S1_RT2_L2_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 1, Room type 2, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,510,LRA_S1_RT2_L2_ES_SGL,ES,"Client Negotiated LRA rate for Season 1, Room type 2, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
442,LRA_S1_RT2_L2_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 1, Room type 2, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,511,LRA_S1_RT2_L2_ES_DBL,ES,"Client Negotiated LRA rate for Season 1, Room type 2, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
443,LRA_S1_RT3_L2_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 1, Room Type 3, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S1_RT3_L2_ES_SGL,,"Client Negotiated LRA rate for Season 1, Room Type 3, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",NEW
444,LRA_S1_RT3_L2_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 1, Room Type 3, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S1_RT3_L2_ES_DBL,,"Client Negotiated LRA rate for Season 1, Room Type 3, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",NEW
445,NLRA_S1_RT1_L2_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 1, Room type 1, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,512,NLRA_S1_RT1_L2_ES_SGL,ES,"Client Negotiated non-LRA rate for Season 1, Room type 1, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
446,NLRA_S1_RT1_L2_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 1, Room type 1, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,513,NLRA_S1_RT1_L2_ES_DBL,ES,"Client Negotiated non-LRA rate for Season 1, Room type 1, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
447,NLRA_S1_RT2_L2_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 1, Room type 2, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,514,NLRA_S1_RT2_L2_ES_SGL,ES,"Client Negotiated non-LRA rate for Season 1, Room type 2, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
448,NLRA_S1_RT2_L2_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 1, Room type 2, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,515,NLRA_S1_RT2_L2_ES_DBL,ES,"Client Negotiated non-LRA rate for Season 1, Room type 2, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
449,NLRA_S1_RT3_L2_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 1, Room Type 3, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S1_RT3_L2_ES_SGL,,"Client Negotiated non-LRA rate for Season 1, Room Type 3, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",NEW
450,NLRA_S1_RT3_L2_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 1, Room Type 3, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S1_RT3_L2_ES_DBL,,"Client Negotiated non-LRA rate for Season 1, Room Type 3, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",NEW
451,LRA_S1_RT1_L3_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 1, Room type 1, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,524,LRA_S1_RT1_L3_ES_SGL,ES,"Client Negotiated LRA rate for Season 1, Room type 1, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
452,LRA_S1_RT1_L3_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 1, Room type 1, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,525,LRA_S1_RT1_L3_ES_DBL,ES,"Client Negotiated LRA rate for Season 1, Room type 1, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
453,LRA_S1_RT2_L3_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 1, Room type 2, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,526,LRA_S1_RT2_L3_ES_SGL,ES,"Client Negotiated LRA rate for Season 1, Room type 2, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
454,LRA_S1_RT2_L3_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 1, Room type 2, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,527,LRA_S1_RT2_L3_ES_DBL,ES,"Client Negotiated LRA rate for Season 1, Room type 2, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
455,LRA_S1_RT3_L3_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 1, Room Type 3, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S1_RT3_L3_ES_SGL,,"Client Negotiated LRA rate for Season 1, Room Type 3, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",NEW
456,LRA_S1_RT3_L3_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 1, Room Type 3, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S1_RT3_L3_ES_DBL,,"Client Negotiated LRA rate for Season 1, Room Type 3, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",NEW
457,NLRA_S1_RT1_L3_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 1, Room type 1, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,528,NLRA_S1_RT1_L3_ES_SGL,ES,"Client Negotiated non-LRA rate for Season 1, Room type 1, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
458,NLRA_S1_RT1_L3_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 1, Room type 1, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,529,NLRA_S1_RT1_L3_ES_DBL,ES,"Client Negotiated non-LRA rate for Season 1, Room type 1, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
459,NLRA_S1_RT2_L3_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 1, Room type 2, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,530,NLRA_S1_RT2_L3_ES_SGL,ES,"Client Negotiated non-LRA rate for Season 1, Room type 2, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
460,NLRA_S1_RT2_L3_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 1, Room type 2, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,531,NLRA_S1_RT2_L3_ES_DBL,ES,"Client Negotiated non-LRA rate for Season 1, Room type 2, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
461,NLRA_S1_RT3_L3_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 1, Room Type 3, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S1_RT3_L3_ES_SGL,,"Client Negotiated non-LRA rate for Season 1, Room Type 3, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",NEW
462,NLRA_S1_RT3_L3_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 1, Room Type 3, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S1_RT3_L3_ES_DBL,,"Client Negotiated non-LRA rate for Season 1, Room Type 3, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",NEW
463,LRA_S1_RT1_L4_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 1, Room type 1, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,540,LRA_S1_RT1_L4_ES_SGL,ES,"Client Negotiated LRA rate for Season 1, Room type 1, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
464,LRA_S1_RT1_L4_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 1, Room type 1, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,541,LRA_S1_RT1_L4_ES_DBL,ES,"Client Negotiated LRA rate for Season 1, Room type 1, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
465,LRA_S1_RT2_L4_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 1, Room type 2, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,542,LRA_S1_RT2_L4_ES_SGL,ES,"Client Negotiated LRA rate for Season 1, Room type 2, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
466,LRA_S1_RT2_L4_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 1, Room type 2, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,543,LRA_S1_RT2_L4_ES_DBL,ES,"Client Negotiated LRA rate for Season 1, Room type 2, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
467,LRA_S1_RT3_L4_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 1, Room Type 3, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S1_RT3_L4_ES_SGL,,"Client Negotiated LRA rate for Season 1, Room Type 3, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",NEW
468,LRA_S1_RT3_L4_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 1, Room Type 3, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S1_RT3_L4_ES_DBL,,"Client Negotiated LRA rate for Season 1, Room Type 3, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",NEW
469,NLRA_S1_RT1_L4_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 1, Room type 1, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,544,NLRA_S1_RT1_L4_ES_SGL,ES,"Client Negotiated non-LRA rate for Season 1, Room type 1, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
470,NLRA_S1_RT1_L4_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 1, Room type 1, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,545,NLRA_S1_RT1_L4_ES_DBL,ES,"Client Negotiated non-LRA rate for Season 1, Room type 1, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
471,NLRA_S1_RT2_L4_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 1, Room type 2, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,546,NLRA_S1_RT2_L4_ES_SGL,ES,"Client Negotiated non-LRA rate for Season 1, Room type 2, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
472,NLRA_S1_RT2_L4_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 1, Room type 2, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,547,NLRA_S1_RT2_L4_ES_DBL,ES,"Client Negotiated non-LRA rate for Season 1, Room type 2, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
473,NLRA_S1_RT3_L4_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 1, Room Type 3, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S1_RT3_L4_ES_SGL,,"Client Negotiated non-LRA rate for Season 1, Room Type 3, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",NEW
474,NLRA_S1_RT3_L4_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 1, Room Type 3, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S1_RT3_L4_ES_DBL,,"Client Negotiated non-LRA rate for Season 1, Room Type 3, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",NEW
475,SEASON2START_ES,ES,Date,10,Season 2 start date.  Use ISO 8601 format - Example: 2011-12-31,,,,,,,,552,SEASON2START_ES,ES,Season 2 start date.  Use short date format:  MM/DD/YYYY   ,AMENDED
476,SEASON2END_ES,ES,Date,10,Season 2 end date. Use ISO 8601 format - Example: 2011-12-31,,,,,,,,553,SEASON2END_ES,ES,Season 2 end date.  Use short date format:  MM/DD/YYYY ,AMENDED
477,LRA_S2_RT1_L2_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 2, Room type 1, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,558,LRA_S2_RT1_L2_ES_SGL,ES,"Client Negotiated LRA rate for Season 2, Room type 1, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
478,LRA_S2_RT1_L2_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 2, Room type 1, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,559,LRA_S2_RT1_L2_ES_DBL,ES,"Client Negotiated LRA rate for Season 2, Room type 1, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
479,LRA_S2_RT2_L2_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 2, Room type 2, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,560,LRA_S2_RT2_L2_ES_SGL,ES,"Client Negotiated LRA rate for Season 2, Room type 2, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
